,Code,Title,points_r1_2021,points_r1_2020,points_r1_2019
134,CK204,Finance,556,556,556
135,CK205,Commerce (International) with French,445,445,445
136,CK206,Commerce (International) with German,420,420,420
137,CK207,Commerce (International) with Italian,388,388,388
138,CK208,Commerce (International) with Hispanic Studies,402,402,402
139,CK209,Commerce (International) with Irish,484,484,484
140,CK211,Commerce (International) with Chinese Studies,397,397,397
141,CK212,Economics (through Transformational Learning) 3 or,444,444,444
142,CK213,Food Marketing and Entrepreneurship,462,462,462
143,CK214,International Development,346,346,346
144,CK301,Law (Pathways) -  3 or 4 years,507,507,507
145,CK302,Law and French,542,542,542
146,CK304,Law and Irish,540,540,540
147,CK307,Law and Business,556,556,556
148,CK401,Computer Science,468,468,468
149,CK402,Biological and Chemical Sciences,510,510,510
150,CK404,Biological  Earth and Environmental Sciences,467,467,467
151,CK405,Genetics,487,487,487
152,CK406,Chemical Sciences,485,485,485
153,CK407,Mathematical Sciences,566,566,566
154,CK408,Physics and Astrophysics,554,554,554
155,CK409,Industrial Physics - Offered jointly by UCC and CI,432,432,432
156,CK411,Data Science and Analytics,510,510,510
157,CK412,Agricultural Science,496,496,496
158,CK504,Nutritional Sciences,518,518,518
159,CK505,Food Science,441,441,441
160,CK600,Engineering,487,487,487
161,CK606,Architecture - Offered jointly by UCC and CIT,484,484,484
162,CK701,Medicine (Undergraduate Entry - HPAT required),731,731,731
163,CK702,Dentistry,613,613,613
164,CK703,Pharmacy,590,590,590
165,CK704,Occupational Therapy,566,566,566
166,CK705,Speech and Language Therapy,520,520,520
167,CK706,Public Health Sciences,454,454,454
168,CK707,Medical and Health Sciences,542,542,542
169,CK710,General Nursing,454,454,454
170,CK712,Children`s and General Nursing (Integrated),533,533,533
171,CK720,Mental Health Nursing,423,423,423
172,CK730,Intellectual Disability Nursing,419,419,419
173,CK740,Midwifery,484,484,484
174,CK791,Medicine  - Graduate Entry (GAMSAT required),57,57,57
175,AC120,International Business,209,209,209
176,AC137,Liberal Arts,252,252,252
177,CT125,Computing and IT,220,220,220
178,CT325,Business,338,338,338
179,CM001,Education - Primary Teaching,484,484,484
180,CM002,Education - Primary Teaching - Gaeltacht Applicant,,,
181,CM003,Oideachas � Bunmh�inteoireacht Tr� Mhe�n na Gaeilg,528,528,528
182,CM004,Oideachas - Bunmh�inteoireacht Tr� Mhe�n na Gaeilg,494,494,494
183,CM010,Education Studies,319,319,319
184,CM020,Early Childhood Education,327,327,327
185,DB500,Computing,218,218,218
186,DB501,Computing (Cloud Computing),227,227,227
187,DB502,Computing (Data Analytics and Big Data),341,341,341
188,DB503,Computing (Software Development),225,225,225
189,DB504,Computing (Web and Mobile Technology),,,
190,DB510,Audio Production and Music Project Management,234,234,234
191,DB512,Business Studies,218,218,218
