,Code,Title,points_r1_2021,points_r1_2020,points_r1_2019
132,CK202,Accounting,553,509,467
133,CK203,Business Information Systems,455,430,409
134,CK204,Finance,566,556,531
135,CK205,Commerce (International) with French,465,445,409
136,CK206,Commerce (International) with German,466,420,408
137,CK207,Commerce (International) with Italian,423,388,408
138,CK208,Commerce (International) with Hispanic Studies,488,402,431
139,CK209,Commerce (International) with Irish,507,484,509
140,CK211,Commerce (International) with Chinese Studies,385,397,398
141,CK212,Economics (through Transformational Learning) 3 or,445,444,400
142,CK213,Food Marketing and Entrepreneurship,466,462,0
143,CK214,International Development,332,346,0
144,CK301,Law (Pathways) -  3 or 4 years,533,507,476
145,CK302,Law and French,545,542,453
146,CK304,Law and Irish,588,540,462
147,CK307,Law and Business,589,556,522
148,CK401,Computer Science,503,468,402
149,CK402,Biological and Chemical Sciences,555,510,498
150,CK404,Biological  Earth and Environmental Sciences,500,467,412
151,CK405,Genetics,543,487,476
152,CK406,Chemical Sciences,532,485,457
153,CK407,Mathematical Sciences,566,566,531
154,CK408,Physics and Astrophysics,566,554,511
155,CK409,Industrial Physics - Offered jointly by UCC and CI,465,432,413
156,CK411,Data Science and Analytics,531,510,509
157,CK412,Agricultural Science,506,496,457
158,CK504,Nutritional Sciences,555,518,492
159,CK505,Food Science,463,441,444
160,CK600,Engineering,510,487,465
161,CK606,Architecture - Offered jointly by UCC and CIT,543,484,465
162,CK701,Medicine (Undergraduate Entry - HPAT required),738,731,729
163,CK702,Dentistry,625,613,590
164,CK703,Pharmacy,613,590,577
165,CK704,Occupational Therapy,601,566,532
166,CK705,Speech and Language Therapy,568,520,509
167,CK706,Public Health Sciences,500,454,419
168,CK707,Medical and Health Sciences,578,542,510
169,CK710,General Nursing,498,454,440
170,CK712,Children`s and General Nursing (Integrated),565,533,499
171,CK720,Mental Health Nursing,455,423,398
172,CK730,Intellectual Disability Nursing,431,419,359
173,CK740,Midwifery,509,484,444
174,CK791,Medicine  - Graduate Entry (GAMSAT required),60,57,58
175,AC120,International Business,294,209,234
176,AC137,Liberal Arts,271,252,252
177,CT125,Computing and IT,242,220,235
178,CT325,Business,253,338,0
179,CM001,Education - Primary Teaching,508,484,452
180,CM002,Education - Primary Teaching - Gaeltacht Applicant,462,0,421
181,CM003,Oideachas � Bunmh�inteoireacht Tr� Mhe�n na Gaeilg,513,528,491
182,CM004,Oideachas - Bunmh�inteoireacht Tr� Mhe�n na Gaeilg,480,494,492
183,CM010,Education Studies,382,319,317
184,CM020,Early Childhood Education,317,327,336
185,DB500,Computing,234,218,242
186,DB501,Computing (Cloud Computing),0,227,326
187,DB502,Computing (Data Analytics and Big Data),267,341,269
188,DB503,Computing (Software Development),0,225,242
189,DB504,Computing (Web and Mobile Technology),0,0,227
190,DB510,Audio Production and Music Project Management,217,234,233
191,DB512,Business Studies,243,218,229
192,DB514,Business Studies (Law),239,252,269
193,DB515,Business Studies (Human Resource Management),242,244,225
194,DB517,Marketing (Event Management),233,238,226
195,DB518,Marketing (Digital Media),307,0,210
196,DB521,Accounting and Finance,243,225,225
197,DB524,Business (Information Systems),247,342,402
198,DB525,Marketing (Digital Media and Cloud Computing),288,0,284
199,DB526,Business (Cloud Computing),244,347,253
200,DB527,Applied Social Care,254,234,235
201,DB531,Marketing,288,293,220
202,DB562,Psychology,244,243,208
203,DB566,Social Science,262,220,216
204,DB567,Film and Creative Media,245,218,192
205,DB568,Law,254,219,245
206,DB569,Business (Psychology),240,252,279
207,DC001,Education - Early Childhood Education,445,440,398
208,DC002,Education - Primary Teaching,518,488,462
209,DC003,Education - Primary Teaching - Gaeltacht Applicant,489,445,433
210,DC004,Education - Primary Teaching (Church of Ireland Ce,451,411,357
211,DC009,Arts (Joint Honours) - Humanities,356,376,347
212,DC010,Post Primary Teacher Education - Religious Educati,384,441,386
213,DC011,Post Primary Teacher Education - Religious Educati,409,412,352
214,DC012,Post Primary Teacher Education - Religious Educati,409,378,367
215,DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413,419,410
216,DC014,BA in Jazz and Contemporary Music Performance (aud,311,419,428
217,DC110,Business Studies International,498,465,440
218,DC111,Business Studies,511,488,463
219,DC112,Global Business (France),542,517,495
220,DC113,Global Business (Germany),484,462,440
221,DC114,Global Business (Spain),544,522,501
222,DC115,Accounting and Finance,544,510,487
223,DC116,Global Business (USA),613,579,578
224,DC117,Aviation Management / Aviation Management with Pil,484,476,463
225,DC118,Gn� agus Gaeilge / Business and Irish,368,359,357
226,DC119,Global Business (Canada),601,564,566
227,DC120,Computing for Business,403,357,350
228,DC121,Computer Science,475,400,370
229,DC123,Data Science,501,465,467
230,DC126,Actuarial Mathematics,577,560,520
231,DC127,Common Entry into Actuarial and Financial Mathemat,541,532,509
232,DC131,Communication Studies,421,407,400
233,DC132,Journalism,452,429,401
234,DC133,Multimedia,435,411,403
235,DC155,Applied Language and Translation Studies,427,387,371
236,DC161,Analytical Science,498,498,446
237,DC162,Chemical and Pharmaceutical Sciences,531,521,488
238,DC163,Chemical Sciences General Entry (Undenominated Ent,466,0,0
239,DC166,Environmental Science and Technology,423,433,412
240,DC168,Genetics and Cell Biology,543,512,489
241,DC175,Physics General Entry (options),400,419,0
242,DC180,Biological Sciences General Entry (Undenominated E,530,0,0
243,DC181,Biotechnology,530,499,476
244,DC190,Electronic and Computer Engineering (with choice o,488,413,391
245,DC193,Mechatronic Engineering,490,411,404
246,DC194,Sustainable Systems and Energy,476,0,0
247,DC195,Mechanical and Manufacturing Engineering,500,425,401
248,DC197,Biomedical Engineering,510,423,402
249,DC200,Common Entry into Engineering (Undenominated Entry,511,422,381
250,DC202,Sport Science and Health,511,500,467
251,DC203,Science Education,462,435,424
252,DC204,Athletic Therapy and Training,558,522,484
253,DC205,Physical Education with Biology,565,531,490
254,DC206,Physical Education with Mathematics,521,499,443
255,DC207,Psychology and Mathematics,521,0,0
256,DC208,Psychology,565,532,509
257,DC209,Health and Society,477,465,419
258,DC210,Psychology and Disruptive Technologies,506,0,0
259,DC215,General Nursing,456,454,414
260,DC216,Mental Health Nursing,420,418,368
261,DC217,Intellectual Disability Nursing,382,370,347
262,DC218,Children`s and General Nursing (Integrated),521,500,467
263,DC230,Economics  Politics and Law,431,435,400
264,DC231,International Relations,398,397,387
265,DC232,Law and Society (BCL),469,466,453
266,DC235,Education and Training - Daytime and Flexible Deli,302,309,307
267,DC238,Social Sciences and Cultural Innovation,387,377,358
268,DC240,Marketing  Innovation and Technology,499,476,451
269,DC241,Digital Business and Innovation,509,0,0
270,DC291,Arts (Joint Honours) - Media Studies,350,376,349
271,DC292,Arts (Joint Honours) - Law,400,403,356
272,DC293,Arts (Joint Honours) - International Languages,379,377,369
273,DC294,Climate and Environmental Sustainability,475,0,0
274,DC295,Arts (Joint Honours) - Politics,349,376,348
275,DL822,Arts Management,254,229,209
276,DL823,Business Management,220,235,260
277,DL825,Applied Psychology,418,379,349
278,DL826,Graphic Design,591,855,736
279,DL827,Art,574,572,583
280,DL832,Animation,989,920,855
281,DL833,Photography and Visual Media,671,650,636
282,DL836,Creative Computing,235,219,217
283,DL837,New Media Studies,298,201,290
284,DL838,Creative Music Production,713,754,746
285,DL839,Interaction and User Experience Design,757,683,0
286,DL840,Digital Marketing,210,228,0
287,DL841,English and Equality Studies,277,276,0
288,DL843,Film,987,0,0
289,DL844,Television,566,0,0
290,DL845,Design for Film (degree options),628,0,0
291,GC200,Business,269,252,269
292,GC201,Accounting and Finance,260,303,251
293,GC230,Computing Science,300,335,228
294,GC300,Business,264,429,251
295,GC301,Accounting and Finance,0,253,307
296,GC302,Business - HRM,377,0,269
297,GC307,Business (Marketing),289,0,0
298,GC400,Business,250,248,246
299,GC401,Accounting and Finance,242,240,181
300,GC402,Business (HRM),0,264,217
301,GC403,Law,245,244,225
302,GC407,Business (Marketing),264,280,246
303,GC430,Computing Science,251,252,217
304,GC450,Communications and Media Production,225,254,227
305,GC462,Design Communication (portfolio),300,0,0
306,GC489,Interior Architecture (portfolio),288,254,267
307,GC494,Fashion Design (portfolio),351,337,0
308,BY001,Business,210,0,0
309,ID001,Accounting and Finance,0,203,229
310,ID002,Business Studies,0,294,285
311,AD101,First Year Art and Design (Common Entry portfolio),554,#+matric,mat
312,AD102,Graphic Design and Moving Image Design (portfolio),538,#+matric,mat
313,AD103,Textile and Surface Design and Jewellery and Objec,505,#+matric,mat
314,AD202,Education and Design or Fine Art (Second Level Tea,591,#+matric,mat
315,AD204,Fine Art (portfolio),514,#+matric,mat
316,AD211,Fashion Design (portfolio),760,#+matric,mat
317,AD212,Product Design (portfolio),413,#+matric,mat
318,AD215,Visual Culture,337,377,300
319,AD217,Illustration (portfolio),738,#+matric,mat
320,AD222,Interaction Design (portfolio),444,#+matric,mat
321,NC003,Computing (Degree Award options),271,260,261
